neighbourhood,area_km2,built_up_area_share_pct,total_length_km,total_density_km_km2,dedicated_length_km,recreational_length_km,shared_length_km,dedicated_share_pct,recreational_share_pct,shared_share_pc,expected_density_km_km2,density_gap_km_km2,dedicated_density_gap,recreational_density_gap,shared_density_gap,deviation_type
Bieńkowice,1.43,11.63,3.64,2.54,0.33,1.03,2.29,8.96,28.22,62.81,2.82,-0.28,-1.37,-0.52,0.07,2.00
Biskupin - Sępolno - Dąbie - Bartoszowice,5.90,40.88,73.29,12.42,14.92,23.19,35.18,20.35,31.65,48.00,8.71,3.70,-1.42,2.30,1.68,4.00
Borek,2.76,55.43,33.09,11.97,10.26,6.82,16.02,31.00,20.60,48.40,11.64,0.33,-1.40,0.65,0.15,4.00
Brochów,3.74,27.14,22.39,5.99,1.07,5.58,15.75,4.77,24.90,70.32,5.95,0.05,-2.56,0.05,1.23,4.00
Gądów - Popowice Płd.,3.14,41.17,15.79,5.04,7.04,1.80,6.95,44.57,11.40,44.02,8.77,-3.73,-0.98,1.28,2.76,4.00
Gaj,2.59,39.92,40.64,15.70,9.38,9.11,22.15,23.07,22.42,54.51,8.52,7.18,-3.04,-0.69,1.04,2.00
Gajowice,1.71,55.87,18.07,10.59,2.15,2.39,13.54,11.89,13.22,74.89,11.73,-1.13,-1.02,-0.77,-1.61,1.00
Grabiszyn - Grabiszynek,4.10,42.34,45.40,11.07,13.73,15.34,16.33,30.24,33.78,35.98,9.01,2.06,-0.72,2.09,-0.43,3.00
Huby,2.07,45.60,29.93,14.49,14.15,5.77,10.01,47.29,19.28,33.43,9.66,4.83,2.53,1.11,0.12,8.00
Jagodno,3.43,45.89,21.09,6.15,6.09,0.74,14.25,28.89,3.53,67.58,9.72,-3.57,-2.57,-1.47,-0.59,1.00
Jerzmanowo - Jarnołtów - Strachowice - Osiniec,17.23,10.62,23.07,1.34,9.58,3.08,10.41,41.53,13.35,45.12,2.62,-1.28,-0.96,-1.05,-0.83,1.00
Karłowice - Różanka,11.10,36.06,72.21,6.50,27.85,10.45,33.91,38.57,14.47,46.96,7.74,-1.24,-1.05,-0.62,-0.77,1.00
