NAZWAOSIED,bult_up_area_share_[%],density of bike roads [km/km2],expected density of bike roads [km/km2],density gap,DEDYKOWANA_density[km/km2],REKREACYJNA_I_UZUPELNIAJACA_density[km/km2],WSPOLDZIELONA_Z_RUCHEM_OGOLNYM_density[km/km2],expected dedicated density,expected recreational denstiy,expected wspoldzielona denstiy,oczekiwana gęstość infrastruktury dedykowanej,oczekiwana gęstość infrastruktury rekreacyjnej i uzupełniającej,oczekiwana gęstość infrastruktury współdzielonej,Typ deficytu,Field16,Field17,Field18
Bieńkowice,11.632,2.54149910349722,2.8239216,-0.28242249650278,0.227839653033923,0.717220669917181,1.59643878054612,1.6014864,1.2386424,1.529908,-1.37364674696608,-0.521421730082819,0.0665307805461199,2,,,
Biskupin - Sępolno - Dąbie - Bartoszowice,40.879,12.4153527301564,8.7113427,3.7040100301564,2.52670717041442,3.92888551058076,5.95976004916121,3.9470958,1.6247028,4.279126,-1.42038862958558,2.30418271058076,1.68063404916121,4,,,
Borek,55.433,11.9734008197538,11.6410629,0.332337919753801,3.71190615264884,2.46641249552437,5.79508217158054,5.1143266,1.8168156,5.647202,-1.40242044735116,0.649596895524374,0.147880171580536,4,,,
Brochów,27.142,5.99470188333333,5.9460846,0.0486172833333303,0.286187629382696,1.49294150778598,4.21557274616466,2.8453884,1.4433744,2.987848,-2.5592007706173,0.0495671077859787,1.22772474616466,4,,,
Gądów - Popowice Płd.,41.169,5.03664217899003,8.7697197,-3.73307752100997,2.99062933285046,2.90686035945443,7.06610407050849,3.9703538,1.6285308,4.306386,-0.979724467149537,1.27832955945443,2.75971807050849,4,,,
Gaj,39.923,15.7035805434389,8.5188999,7.1846806434389,0.830370864835089,0.923320410109204,5.23031363316592,3.8704246,1.6120836,4.189262,-3.04005373516491,-0.688763189890796,1.04105163316592,2,,,
Gajowice,55.872,10.5947272580242,11.7294336,-1.1347063419758,4.12552600245138,1.05525461415792,4.07471365720884,5.1495344,1.8226104,5.688468,-1.02400839754862,-0.767355785842075,-1.61375434279116,1,,,
Grabiszyn - Grabiszynek,42.339,11.0667297490257,9.0052407,2.0614890490257,3.34612318050687,3.73867089009827,3.9819356784206,4.0641878,1.6439748,4.416366,-0.718064619493125,2.09469609009827,-0.4344303215794,3,,,
Huby,45.604,14.4875828899985,9.6624852,4.8250976899985,6.85131743621539,2.79265189097774,4.84361356280532,4.3260408,1.6870728,4.723276,2.52527663621539,1.10557909097774,0.120337562805325,8,,,
Jagodno,45.894,6.15359988535269,9.7208622,-3.56726231464731,1.777488253851,0.217302955866881,4.15880867563481,4.3492988,1.6909008,4.750536,-2.571810546149,-1.47359784413312,-0.591727324365188,1,,,
Jerzmanowo - Jarnołtów - Strachowice - Osiniec,10.622,1.33920089153284,2.6206086,-1.28140770846716,0.556190325766165,0.178734208541119,0.604276357225554,1.5204844,1.2253104,1.434968,-0.964294074233835,-1.04657619145888,-0.830691642774446,1,,,
Karłowice - Różanka,36.055,6.50321088514826,7.7402715,-1.23706061485174,2.50807875750981,0.940978693339476,3.05415343429897,3.560211,1.561026,3.82567,-1.05213224249019,-0.620047306660524,-0.771516565701027,1,,,
Klecina,31.981,5.17726511083634,6.9201753,-1.74291018916366,1.93501786459623,0.573703983152805,2.6685432630873,3.2334762,1.5072492,3.442714,-1.29845833540377,-0.933545216847195,-0.774170736912696,1,,,
Kleczków,33.481,5.58827442772583,7.2221253,-1.63385087227417,2.50767050632028,1.1569087021519,1.92369521925365,3.3537762,1.5270492,3.583714,-0.846105693679718,-0.370140497848102,-1.66001878074635,1,,,
Kowale,28.238,3.64156973348309,6.1667094,-2.52513966651691,0.66928922728491,1.16584388563358,1.8064366205646,2.9332876,1.4578416,3.090872,-2.26399837271509,-0.291997714366423,-1.2844353794354,1,,,
Krzyki - Partynice,50.83,8.90254871001538,10.714479,-1.81193028998462,1.64451753215963,1.52966512555213,5.72836605230362,4.745166,1.756056,5.21452,-3.10064846784037,-0.226390874447867,0.513846052303617,2,,,
Księże,12.302,2.84953724697303,2.9587926,-0.10925535302697,0.00654930606394862,1.67940256018881,1.16358538072027,1.6552204,1.2474864,1.592888,-1.64867109393605,0.431916160188812,-0.429302619279734,3,,,
Kuźniki,44.077,8.89098279680167,9.3551001,-0.46411730319833,0.375923253018413,0.70000732777594,7.81505221600731,4.2035754,1.6669164,4.579738,-3.82765214698159,-0.96690907222406,3.23531421600731,2,,,
Leśnica,16.61,3.28951921819922,3.825993,-0.53647378180078,0.523594206681491,1.10418689939127,1.66173811212646,2.000722,1.304352,1.99784,-1.47712779331851,-0.200165100608731,-0.336101887873537,1,,,
Lipa Piotrowska,34.233,3.81362925745579,7.3735029,-3.55987364254421,1.73117297027052,0.118835123537525,1.96362116364774,3.4140866,1.5369756,3.654402,-1.68291362972948,-1.41814047646247,-1.69078083635226,1,,,
Maślice,29.001,5.31169392890119,6.3203013,-1.00860737109881,0.853386192440076,0.888217869248762,3.57008986721235,2.9944802,1.4679132,3.162594,-2.14109400755992,-0.579695330751238,0.407495867212346,2,,,
Muchobór Mały,34.603,4.96431606838672,7.4479839,-2.48366783161328,1.6975670155111,0.0807783418459113,3.18597071102971,3.4437606,1.5418596,3.689182,-1.7461935844889,-1.46108125815409,-0.503211288970294,1,,,
Muchobór Wielki,30.369,4.36198501221703,6.5956797,-2.23369468778297,0.857673985406177,0.466330213849471,3.03798081296138,3.1041938,1.4859708,3.291186,-2.24651981459382,-1.01964058615053,-0.253205187038619,1,,,
